|  n  |     l      |     x      |     r      |   sgn(f(l))   |   sgn(f(x))   |   sgn(f(r))   |   error    |
|  0  |  0.000000  |  0.785398  |  1.570796  |       -       |       +       |       +       |  1.570796  |
|  1  |  0.000000  |  0.392699  |  0.785398  |       -       |       -       |       +       |  0.785398  |
|  2  |  0.392699  |  0.589049  |  0.785398  |       -       |       -       |       +       |  0.392699  |
|  3  |  0.589049  |  0.687223  |  0.785398  |       -       |       -       |       +       |  0.196350  |
|  4  |  0.687223  |  0.736311  |  0.785398  |       -       |       -       |       +       |  0.098175  |
|  5  |  0.736311  |  0.760854  |  0.785398  |       -       |       +       |       +       |  0.049087  |
|  6  |  0.736311  |  0.748583  |  0.760854  |       -       |       +       |       +       |  0.024544  |
|  7  |  0.736311  |  0.742447  |  0.748583  |       -       |       +       |       +       |  0.012272  |
|  8  |  0.736311  |  0.739379  |  0.742447  |       -       |       +       |       +       |  0.006136  |
|  9  |  0.736311  |  0.737845  |  0.739379  |       -       |       -       |       +       |  0.003068  |
| 10  |  0.737845  |  0.738612  |  0.739379  |       -       |       -       |       +       |  0.001534  |
| 11  |  0.738612  |  0.738995  |  0.739379  |       -       |       -       |       +       |  0.000767  |
| 12  |  0.738995  |  0.739187  |  0.739379  |       -       |       +       |       +       |  0.000383  |
| 13  |  0.738995  |  0.739091  |  0.739187  |       -       |       +       |       +       |  0.000192  |
| 14  |  0.738995  |  0.739043  |  0.739091  |       -       |       -       |       +       |  0.000096  |
| 15  |  0.739043  |  0.739067  |  0.739091  |       -       |       -       |       +       |  0.000048  |
| 16  |  0.739067  |  0.739079  |  0.739091  |       -       |       -       |       +       |  0.000024  |
| 17  |  0.739079  |  0.739085  |  0.739091  |       -       |       -       |       +       |  0.000012  |
| 18  |  0.739085  |  0.739088  |  0.739091  |       -       |       +       |       +       |  0.000006  |
| 19  |  0.739085  |  0.739087  |  0.739088  |       -       |       +       |       +       |  0.000003  |
| 20  |  0.739085  |  0.739086  |  0.739087  |       -       |       +       |       +       |  0.000001  |
| 21  |  0.739085  |  0.739086  |  0.739086  |       -       |       +       |       +       |  0.000001  |
