|  n  |    ϕ(x)    |   error    |
|  0  |  0.000000  |     -      |
|  1  |  1.000000  |  1.000000  |
|  2  |  0.540302  |  0.459698  |
|  3  |  0.857553  |  0.317251  |
|  4  |  0.654290  |  0.203263  |
|  5  |  0.793480  |  0.139191  |
|  6  |  0.701369  |  0.092112  |
|  7  |  0.763960  |  0.062591  |
|  8  |  0.722102  |  0.041857  |
|  9  |  0.750418  |  0.028315  |
| 10  |  0.731404  |  0.019014  |
| 11  |  0.744237  |  0.012833  |
| 12  |  0.735605  |  0.008633  |
| 13  |  0.741425  |  0.005820  |
| 14  |  0.737507  |  0.003918  |
| 15  |  0.740147  |  0.002640  |
| 16  |  0.738369  |  0.001778  |
| 17  |  0.739567  |  0.001198  |
| 18  |  0.738760  |  0.000807  |
| 19  |  0.739304  |  0.000544  |
| 20  |  0.738938  |  0.000366  |
| 21  |  0.739184  |  0.000247  |
| 22  |  0.739018  |  0.000166  |
| 23  |  0.739130  |  0.000112  |
| 24  |  0.739055  |  0.000075  |
| 25  |  0.739106  |  0.000051  |
| 26  |  0.739071  |  0.000034  |
| 27  |  0.739094  |  0.000023  |
| 28  |  0.739079  |  0.000016  |
| 29  |  0.739089  |  0.000010  |
| 30  |  0.739082  |  0.000007  |
| 31  |  0.739087  |  0.000005  |
| 32  |  0.739084  |  0.000003  |
| 33  |  0.739086  |  0.000002  |
| 34  |  0.739085  |  0.000001  |
| 35  |  0.739086  |  0.000001  |
